"","taxon","USDAcode","group","nativity","status","growthform","family","leafmass","SLA","LDMC","leaf.lobeness","leaf.PAratio","leafthickness","stom.length.mean","stom.index","Rdarea","Rdmass","Asatarea","Asatmass","Vcmax","Jmax","AQY","LSP","PNUE","WUE","CCarea","CCmass","Nmass","Narea","Nlitter","Nres","Cmass","Carea","Clitter","Solubles","Hemi","Lignin","Cellulose","Ash","Phenolics","Chlarea","Chlmass","Chlab","leafdecomp","dna","SRL","RTD","RDMC","Nroot","Croot","Ligninroot","rootdecomp","LA.gain","leafrate","rootNPP","ss.root","ss.stem","starch.root","starch.stem","nsc.root","nsc.stem","Ringporosity","vessel.frequency","metaxylem.VD","earlywood.VD","latewood.VD","stem.conductance","leaffall50","leaflifespan","emergeduration","leafduration","leafturnover","fallduration","date.chl50.sun","date.chl50.shade","leafout"
"COAL","Cornus alternifolia","COAL2","ena","native","native","tree; shrub","Cornaceae",115.54,190.6427623,0.382742684,9.794,1.394,NA,23.3695,NA,NA,NA,14.13,0.269378223,NA,NA,0.038,NA,NA,3.888172356,NA,NA,NA,NA,0.48,NA,NA,NA,47.7,NA,NA,10.9472425,NA,NA,NA,46.82339932,102.2688492,NA,3.36,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",235.344,13.26589,23.30178113,20.9,1.12,277.0198485,134.6826296,84.88340471,186.2359481,1.446165521,44.64043163,274,267,103.312014755248
"COAM","Cornus amomum","COAM2","ena","native","native","shrub","Cornaceae",124.63,197.3106546,0.359695125,11.093,2.89,0.173983334,23.242,NA,0.785341514,0.015614295,14.03,0.276826848,59.91321771,126.4305826,0.041,NA,10.03161467,4.437069273,NA,NA,3.16874368,1.583865061,1.47,37.21744862,49.1431681,28.22229994,50.8,54.6,19.03333333,14.66470296,13.63333333,NA,23.82,48.51327403,103.4034576,2.76,4.39,1.91,44.48180891,0.43,305,2.007514644,43.83746703,15.9,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",273.2061,25.08,26.6673265,31.78,3.02,283.142272,125.1122426,93.82361601,188.1814369,1.546108788,46.56607241,280,290,104.03722995425
"COFL","Cornus florida","COFL2","ena","native","native","tree; shrub","Cornaceae",94.33,233.4359963,0.353635827,8.917,1.181,NA,25.605,NA,NA,NA,12.31,0.287359711,NA,NA,0.035,NA,NA,5.547513377,NA,NA,2.543814629,NA,0.56,57.88758086,45.59351462,NA,47.8,NA,NA,10.46680487,NA,NA,NA,46.70048202,107.5090879,NA,2.48,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",586.2553,10.784,14.82721998,14.83,NA,260.9165574,151.7686139,30.47917252,176.1729184,1.247499076,52.73590121,286,NA,116.440635464067
"DILO","Diervilla lonicera","DILO","ena","native","native","shrub","Diervilleaceae",171.5,235.6573838,0.284686657,13.985,2.373,NA,30.279,NA,NA,NA,14.63,0.344766753,NA,NA,0.04,NA,NA,3.344633836,NA,NA,NA,NA,0.56,NA,NA,NA,46.9,NA,NA,13.72310441,NA,NA,NA,57.33282832,120.785224,NA,7.35,2.28,71.89780887,0.39,237,2.158343136,43.80438198,16.4,7.55,NA,1.75,NA,NA,NA,NA,NA,NA,NA,"diffuse",325.1192369,13.0698,23.74069723,27.693,0.98,288.1167409,144.8177714,69.2306529,200.8785753,1.446952942,49.14960483,NA,301,94.3864334058371
"DIRI","Diervilla rivularis","DIRI","ena","native","native","shrub","Diervilleaceae",43.13,280.5404732,0.258917418,11.449,1.619,NA,28.69875,NA,NA,NA,13.29,0.372838289,NA,NA,0.038,NA,NA,4.315257369,NA,NA,NA,NA,0.61,NA,NA,NA,48.7,NA,NA,15.69823692,NA,NA,NA,52.17030179,121.3713483,NA,7.89,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",408.7507196,9.72135,21.91884398,26.286,NA,298.7262203,159.3156827,70.18437776,206.2175958,1.341008053,43.00269397,299,290,99.9122235711869
"DIPA","Dirca palustris","DIPA9","ena","native","native","shrub","Thymelaeaceae",194.13,216.1342056,0.317655387,6.15,0.712,NA,37.80775,NA,NA,NA,8.36,0.180688196,NA,NA,0.027,NA,NA,4.039312598,NA,NA,NA,NA,0.68,NA,NA,NA,40.8,NA,NA,9.345783712,NA,NA,NA,41.53795549,99.55302264,NA,4.6,3.29,64.99920585,0.61,372,1.841603303,44.79693348,19.8,3.58,NA,0.428571429,NA,NA,NA,NA,NA,NA,NA,"diffuse",564.8535565,5.33324,15,15.223,0.58,261.7929989,136.1240349,39.10723273,188.1575981,1.458753344,63.88854085,294,311,102.036055571822
"ELAN","Elaeagnus angustifolia","ELAN","olive","alien","invasive","tree; shrub","Elaeagnaceae",32.94,350.6979153,0.209782713,6.423,2.024,NA,23.9425,8.038,0.822099285,0.025005924,14.19,0.497640342,NA,NA,0.036,405.1,11.57069633,3.634412843,42.82,1.387,3.932611739,1.501699997,1.86,36.44904225,45.98603823,17.58025864,46.3,NA,NA,13.99001421,NA,91,NA,36.99001545,104.5356835,NA,6.3,1.27,45.84963537,0.26,196,2.867237046,43.04342583,29.3,3.53,NA,NA,NA,2.933235037,NA,12.08596016,NA,15.0191952,NA,"diffuse",170.2265,31.2468,26.40262583,24.02,NA,275.4892426,107.2044404,107.857456,187.1112014,1.855714299,42.90771561,255,283,101.746000008087
"ELCO","Elaeagnus commutata","ELCO","olive","native","native","shrub","Elaeagnaceae",52.67,184.2807277,0.268190424,8.202,2.562,0.215611111,22.27675,8.518,0.820479625,0.017927351,18.15,0.334469521,59.46970791,128.0443456,0.046,96.4,8.995002325,5.606553121,68.71,1.383,3.327914341,1.743675778,1.36,41.90171333,46.55341708,24.16057262,44.9,NA,NA,12.97575697,NA,65,NA,47.04144139,101.0044169,NA,5.96,1.33,41.44640317,0.4,345,3.612129329,43.36755599,39.8,1.1,0.741294977,1,0.011034743,6.587422455,5.776711089,6.542805751,0.435651891,13.1302282,6.212362979,"semi-ring",536,12.546,17.41995983,12.28,NA,259.4178805,121.9221352,84.2791299,184.7795471,1.569436936,46.88842997,265,272,101.522089017091
"ELMU","Elaeagnus multiflora","ELMU","olive","alien","invasive","shrub","Elaeagnaceae",34.17,193.0688114,0.278806274,13.237,5.53,NA,19.585,NA,0.774211717,0.016135278,15.91,0.307172479,NA,NA,0.043,191.4,9.323097975,5.680896911,59.34,1.445,4.816459513,2.16309733,2.23,37.29466001,46.68800765,24.10158082,50.9,45.93333333,18.9,17.14733726,21.71666667,78,NA,77.86001713,133.6590495,5.132075472,0.55,1.6,40.80349911,0.2,174,3.957936675,43.03376913,30.4,1.96,3.726630127,2.0625,0.071473832,3.573575813,5.062324211,13.61956887,0.803940242,17.19314468,5.866264452,"ring",290.2024,20.9065,21.99954536,5.18,7.59,293.4738615,135.0304108,103.1881772,210.8356649,1.598106799,46.919453,NA,308,95.030186314553
"ELPU","Elaeagnus pungens","ELPU2","olive","alien","invasive","shrub","Elaeagnaceae",222.75,152.3909105,0.298909403,8.283,1.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.611291265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.37463394,127.1370924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",855.5957,17.08124,12.99680233,11.8,NA,NA,161.2795788,45.5435328,203.3388984,1.312461013,46.41641635,NA,NA,NA
